site_id,year,species_count,observation_count,bird_species,mammal_species,amphibian_species,reptile_species,plant_species
1,2021,75,617,26,10,6,7,27
1,2022,77,465,28,9,3,4,19
1,2023,81,456,33,11,5,6,19
1,2024,88,447,26,10,6,5,26
1,2025,92,644,38,13,5,9,27
2,2021,66,437,24,8,5,7,24
2,2022,70,427,31,7,6,5,15
2,2023,70,539,21,7,4,4,17
2,2024,80,285,35,13,4,4,24
2,2025,75,399,35,13,6,5,24
3,2021,67,449,20,6,4,4,15
3,2022,72,608,28,11,7,4,20
3,2023,74,288,32,9,5,4,17
3,2024,83,309,28,9,5,7,23
3,2025,76,358,34,10,6,7,25
4,2021,84,447,33,9,7,7,28
4,2022,89,536,41,12,8,6,25
4,2023,92,370,34,15,7,5,24
4,2024,92,333,42,11,5,8,18
4,2025,96,673,39,17,7,8,32
5,2021,74,615,32,12,3,7,20
5,2022,78,528,37,13,4,7,26
5,2023,80,329,24,12,5,9,22
5,2024,91,505,40,8,6,9,33
5,2025,95,350,34,8,4,9,31
6,2021,92,720,39,14,3,6,28
6,2022,97,341,38,14,4,7,35
6,2023,101,473,45,11,9,7,30
6,2024,102,497,46,10,4,7,33
6,2025,112,951,39,13,5,10,42
7,2021,84,458,39,10,4,6,17
7,2022,86,308,32,12,5,6,32
7,2023,94,583,33,15,5,6,34
7,2024,96,692,39,13,5,6,24
7,2025,94,739,32,12,8,9,26
8,2021,70,593,29,11,6,7,16
8,2022,74,296,30,12,5,5,15
8,2023,81,325,24,8,3,6,23
8,2024,79,296,25,9,3,7,18
8,2025,82,448,30,6,3,9,16
9,2021,62,320,23,9,5,4,15
9,2022,64,377,27,6,3,7,13
9,2023,69,486,22,5,3,7,13
9,2024,70,255,22,9,3,6,21
9,2025,83,292,37,11,4,8,29
10,2021,63,509,24,8,6,4,21
10,2022,66,494,26,6,4,4,14
10,2023,67,350,20,6,5,6,22
10,2024,72,572,29,6,3,7,16
10,2025,79,668,23,6,7,7,17
11,2021,67,414,27,7,2,6,16
11,2022,71,545,21,9,3,7,17
11,2023,75,470,27,11,6,6,25
11,2024,84,470,32,6,7,7,22
11,2025,76,604,28,11,3,8,17
12,2021,68,530,31,6,4,6,24
12,2022,71,432,30,10,6,6,15
12,2023,79,618,35,7,4,8,16
12,2024,85,457,36,14,5,6,26
12,2025,85,471,34,14,5,5,22
13,2021,68,293,28,7,6,4,14
13,2022,73,577,25,7,3,6,20
13,2023,74,275,28,13,5,6,16
13,2024,77,382,33,12,7,9,29
13,2025,91,351,29,10,6,5,32
14,2021,73,453,24,7,3,8,22
14,2022,77,383,28,9,6,8,18
14,2023,84,344,38,7,4,9,19
14,2024,83,477,28,12,7,9,21
14,2025,89,422,30,8,8,9,30
15,2021,75,461,29,9,3,4,27
15,2022,78,644,25,10,4,5,16
15,2023,79,638,28,11,5,6,23
15,2024,83,700,37,12,5,5,30
15,2025,88,330,31,14,6,9,30
16,2021,73,592,27,10,2,8,18
16,2022,75,434,24,7,5,5,27
16,2023,79,563,30,11,6,6,29
16,2024,83,364,35,13,3,6,29
16,2025,92,778,36,13,5,10,24
17,2021,80,504,34,10,7,6,25
17,2022,83,459,31,7,3,8,26
17,2023,89,320,31,8,7,9,21
17,2024,94,389,32,8,5,9,34
17,2025,91,565,38,15,6,6,28
18,2021,87,729,32,12,3,6,31
18,2022,91,520,42,15,5,8,26
18,2023,96,496,33,16,9,10,36
18,2024,101,739,44,12,6,6,31
18,2025,99,474,40,11,5,10,35
19,2021,87,450,38,14,4,9,19
19,2022,90,764,30,8,5,8,33
19,2023,98,377,31,15,5,10,31
19,2024,94,720,31,11,6,7,30
19,2025,105,888,50,13,4,10,39
20,2021,74,429,27,6,5,5,25
20,2022,79,600,29,8,6,8,22
20,2023,85,358,38,7,4,7,18
20,2024,80,280,30,12,3,7,27
20,2025,84,355,38,13,6,9,18
