id,gbif_id,site_id,species,accepted_scientific_name,kingdom,phylum,class,order_name,family,genus,latitude,longitude,event_date,year,month,basis_of_record,dataset_key
1,GBIF-DEMO-000001,1,Spilornis cheela,Spilornis cheela,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spilornis,18.4783117,73.524756,2024-04-09,2024,4,HumanObservation,DEMO-DATASET
2,GBIF-DEMO-000002,1,Macaca radiata,Macaca radiata,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,18.4800669,73.5250053,2025-09-13,2025,9,HumanObservation,DEMO-DATASET
3,GBIF-DEMO-000003,1,Prionailurus bengalensis,Prionailurus bengalensis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,18.4778865,73.5143838,2024-03-18,2024,3,HumanObservation,DEMO-DATASET
4,GBIF-DEMO-000004,1,Garcinia indica,Garcinia indica,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Garcinia,18.4739026,73.5117196,2025-05-05,2025,5,HumanObservation,DEMO-DATASET
5,GBIF-DEMO-000005,1,Dalbergia latifolia,Dalbergia latifolia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalbergia,18.4748055,73.5264622,2023-05-19,2023,5,HumanObservation,DEMO-DATASET
6,GBIF-DEMO-000006,1,Hylarana temporalis,Hylarana temporalis,Animalia,Chordata,Amphibia,Anura,Ranidae,Hylarana,18.4741954,73.5230708,2025-03-13,2025,3,HumanObservation,DEMO-DATASET
7,GBIF-DEMO-000007,1,Ahaetulla nasuta,Ahaetulla nasuta,Animalia,Chordata,Reptilia,Squamata,Colubridae,Ahaetulla,18.4782867,73.5275017,2025-12-26,2025,12,HumanObservation,DEMO-DATASET
8,GBIF-DEMO-000008,1,Ficedula parva,Ficedula parva,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,18.4750768,73.514416,2025-06-18,2025,6,HumanObservation,DEMO-DATASET
9,GBIF-DEMO-000009,1,Spilornis cheela,Spilornis cheela,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spilornis,18.4766253,73.5246945,2023-07-21,2023,7,HumanObservation,DEMO-DATASET
10,GBIF-DEMO-000010,1,Macaca radiata,Macaca radiata,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,18.4852568,73.5242107,2024-06-01,2024,6,HumanObservation,DEMO-DATASET
11,GBIF-DEMO-000011,1,Prionailurus bengalensis,Prionailurus bengalensis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,18.4727913,73.5220312,2024-06-17,2024,6,HumanObservation,DEMO-DATASET
12,GBIF-DEMO-000012,1,Garcinia indica,Garcinia indica,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Garcinia,18.4786985,73.5251582,2023-02-23,2023,2,HumanObservation,DEMO-DATASET
13,GBIF-DEMO-000013,2,Macaca radiata,Macaca radiata,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,18.4209796,73.4777074,2025-04-04,2025,4,HumanObservation,DEMO-DATASET
14,GBIF-DEMO-000014,2,Prionailurus bengalensis,Prionailurus bengalensis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,18.417036,73.4812819,2024-08-19,2024,8,HumanObservation,DEMO-DATASET
15,GBIF-DEMO-000015,2,Garcinia indica,Garcinia indica,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Garcinia,18.4130573,73.4700213,2023-03-17,2023,3,HumanObservation,DEMO-DATASET
16,GBIF-DEMO-000016,2,Dalbergia latifolia,Dalbergia latifolia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalbergia,18.4223407,73.4734392,2025-11-25,2025,11,HumanObservation,DEMO-DATASET
17,GBIF-DEMO-000017,2,Hylarana temporalis,Hylarana temporalis,Animalia,Chordata,Amphibia,Anura,Ranidae,Hylarana,18.4195193,73.4795218,2025-12-13,2025,12,HumanObservation,DEMO-DATASET
18,GBIF-DEMO-000018,2,Ahaetulla nasuta,Ahaetulla nasuta,Animalia,Chordata,Reptilia,Squamata,Colubridae,Ahaetulla,18.4154429,73.4817154,2023-06-06,2023,6,HumanObservation,DEMO-DATASET
19,GBIF-DEMO-000019,2,Ficedula parva,Ficedula parva,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,18.4228724,73.4742818,2025-02-12,2025,2,HumanObservation,DEMO-DATASET
20,GBIF-DEMO-000020,2,Spilornis cheela,Spilornis cheela,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spilornis,18.4187637,73.4735228,2023-01-04,2023,1,HumanObservation,DEMO-DATASET
21,GBIF-DEMO-000021,2,Macaca radiata,Macaca radiata,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,18.4257645,73.4764079,2024-05-07,2024,5,HumanObservation,DEMO-DATASET
22,GBIF-DEMO-000022,2,Prionailurus bengalensis,Prionailurus bengalensis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,18.4177179,73.4752961,2023-12-17,2023,12,HumanObservation,DEMO-DATASET
23,GBIF-DEMO-000023,2,Garcinia indica,Garcinia indica,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Garcinia,18.4152862,73.4877673,2023-12-19,2023,12,HumanObservation,DEMO-DATASET
24,GBIF-DEMO-000024,2,Dalbergia latifolia,Dalbergia latifolia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalbergia,18.4137184,73.4723065,2023-06-17,2023,6,HumanObservation,DEMO-DATASET
25,GBIF-DEMO-000025,3,Prionailurus bengalensis,Prionailurus bengalensis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,19.0639515,73.5570476,2025-10-03,2025,10,HumanObservation,DEMO-DATASET
26,GBIF-DEMO-000026,3,Garcinia indica,Garcinia indica,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Garcinia,19.070417,73.5599335,2025-06-02,2025,6,HumanObservation,DEMO-DATASET
27,GBIF-DEMO-000027,3,Dalbergia latifolia,Dalbergia latifolia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalbergia,19.0684202,73.5464787,2024-12-03,2024,12,HumanObservation,DEMO-DATASET
28,GBIF-DEMO-000028,3,Hylarana temporalis,Hylarana temporalis,Animalia,Chordata,Amphibia,Anura,Ranidae,Hylarana,19.0748991,73.5434068,2024-10-27,2024,10,HumanObservation,DEMO-DATASET
29,GBIF-DEMO-000029,3,Ahaetulla nasuta,Ahaetulla nasuta,Animalia,Chordata,Reptilia,Squamata,Colubridae,Ahaetulla,19.0699782,73.5498734,2023-12-26,2023,12,HumanObservation,DEMO-DATASET
30,GBIF-DEMO-000030,3,Ficedula parva,Ficedula parva,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,19.0683604,73.5516951,2024-06-04,2024,6,HumanObservation,DEMO-DATASET
31,GBIF-DEMO-000031,3,Spilornis cheela,Spilornis cheela,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spilornis,19.0671374,73.5438642,2025-02-22,2025,2,HumanObservation,DEMO-DATASET
32,GBIF-DEMO-000032,3,Macaca radiata,Macaca radiata,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,19.0714293,73.5471735,2025-09-12,2025,9,HumanObservation,DEMO-DATASET
33,GBIF-DEMO-000033,3,Prionailurus bengalensis,Prionailurus bengalensis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,19.0689043,73.552663,2024-12-22,2024,12,HumanObservation,DEMO-DATASET
34,GBIF-DEMO-000034,3,Garcinia indica,Garcinia indica,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Garcinia,19.0682639,73.5465852,2025-04-13,2025,4,HumanObservation,DEMO-DATASET
35,GBIF-DEMO-000035,3,Dalbergia latifolia,Dalbergia latifolia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalbergia,19.0710869,73.5492364,2023-08-10,2023,8,HumanObservation,DEMO-DATASET
36,GBIF-DEMO-000036,3,Hylarana temporalis,Hylarana temporalis,Animalia,Chordata,Amphibia,Anura,Ranidae,Hylarana,19.0671314,73.5469146,2024-01-11,2024,1,HumanObservation,DEMO-DATASET
