site_id,year,carbon_emissions_tco2e,above_ground_biomass_t,tree_cover_percent,forest_loss_hectares,estimated_net_carbon_tco2e
1,2021,115.31,189.87,80.32,0.61,-26.07
1,2022,108.3,195.51,81.22,0.3,-16.41
1,2023,95.94,202.28,82.93,0.3,-0.87
1,2024,87.65,200.1,81.73,0.42,6.39
1,2025,74.21,209.98,83.48,0.39,24.48
2,2021,111.15,184.32,63.06,0.46,-24.52
2,2022,100.2,189.8,63.82,0.25,-10.99
2,2023,97.03,193.08,64.15,0.26,-6.28
2,2024,82.76,194.54,65.7,0.35,8.68
2,2025,80.45,205.52,68.32,0.28,16.15
3,2021,131.48,187.82,75.74,0.75,-43.21
3,2022,120.08,192.98,77.0,0.42,-29.38
3,2023,115.37,197.37,76.8,0.49,-22.6
3,2024,99.76,200.97,79.47,0.4,-5.3
3,2025,89.32,206.67,78.68,0.07,7.81
4,2021,163.0,206.96,68.62,0.42,-65.73
4,2022,149.18,210.63,69.63,0.82,-50.18
4,2023,139.11,217.27,71.21,0.23,-36.99
4,2024,134.12,214.73,72.21,0.39,-33.2
4,2025,112.44,219.54,70.89,0.44,-9.26
5,2021,125.4,184.74,65.84,0.18,-38.57
5,2022,113.37,191.09,67.01,0.26,-23.56
5,2023,102.81,197.49,68.22,0.33,-9.99
5,2024,103.07,195.51,70.02,0.28,-11.19
5,2025,90.9,197.98,69.99,0.12,2.15
6,2021,209.61,232.72,76.71,0.9,-100.23
6,2022,194.16,235.56,77.15,0.63,-83.45
6,2023,183.83,240.36,77.73,0.63,-70.86
6,2024,148.85,242.27,79.82,0.35,-34.98
6,2025,162.64,252.18,82.52,0.37,-44.12
7,2021,142.21,211.64,70.65,0.56,-42.74
7,2022,132.27,215.21,71.63,0.47,-31.12
7,2023,115.99,216.81,73.42,0.19,-14.09
7,2024,116.66,225.79,74.07,0.24,-10.54
7,2025,92.32,232.19,75.64,0.11,16.81
8,2021,96.74,190.25,58.97,0.59,-7.32
8,2022,87.27,194.02,59.69,0.36,3.92
8,2023,77.95,197.3,60.13,0.08,14.78
8,2024,67.82,202.97,63.12,0.35,27.58
8,2025,59.9,214.5,62.86,0.14,40.92
9,2021,128.84,191.56,67.72,0.75,-38.81
9,2022,121.05,195.02,69.03,0.17,-29.39
9,2023,107.72,197.99,70.44,0.17,-14.67
9,2024,94.06,202.78,72.12,0.28,1.24
9,2025,100.18,203.86,70.33,0.09,-4.36
10,2021,71.07,171.51,71.16,0.47,9.54
10,2022,64.8,176.87,71.71,0.11,18.33
10,2023,60.71,183.93,72.63,0.24,25.74
10,2024,50.18,186.97,73.31,0.34,37.7
10,2025,48.33,181.91,75.55,0.06,37.16
11,2021,98.49,159.73,83.12,0.35,-23.42
11,2022,92.99,165.37,83.64,0.5,-15.27
11,2023,85.59,171.1,85.09,0.33,-5.18
11,2024,74.22,177.64,85.68,0.19,9.27
11,2025,65.26,176.54,88.54,0.18,17.71
12,2021,67.87,152.28,77.4,0.33,3.7
12,2022,61.62,155.37,78.14,0.11,11.41
12,2023,59.39,164.65,78.82,0.1,17.99
12,2024,56.48,161.17,78.78,0.09,19.27
12,2025,45.72,163.14,81.99,0.12,30.96
13,2021,129.06,179.31,80.75,0.27,-44.79
13,2022,118.65,182.81,81.61,0.11,-32.73
13,2023,108.78,187.3,81.77,0.55,-20.75
13,2024,91.65,187.43,82.28,0.46,-3.56
13,2025,77.91,203.75,85.88,0.35,17.85
14,2021,159.5,199.71,61.5,0.5,-65.64
14,2022,146.14,203.75,62.19,0.2,-50.38
14,2023,135.97,208.53,62.81,0.32,-37.96
14,2024,126.13,211.61,63.95,0.44,-26.68
14,2025,97.17,214.46,67.13,0.27,3.63
15,2021,169.33,199.11,80.06,0.74,-75.75
15,2022,154.42,202.77,80.69,0.71,-59.12
15,2023,148.69,211.0,82.21,0.16,-49.53
15,2024,139.46,215.32,84.35,0.16,-38.26
15,2025,107.67,224.45,84.27,0.46,-2.18
16,2021,156.76,199.92,64.59,0.24,-62.8
16,2022,144.1,204.68,65.5,0.45,-47.9
16,2023,128.24,211.04,66.47,0.44,-29.05
16,2024,128.36,218.6,66.17,0.11,-25.62
16,2025,110.46,220.45,69.59,0.33,-6.85
17,2021,171.09,192.01,77.83,0.25,-80.84
17,2022,154.47,195.1,78.71,0.4,-62.77
17,2023,143.75,202.84,80.69,0.61,-48.42
17,2024,134.16,205.26,82.28,0.48,-37.69
17,2025,129.8,217.23,83.17,0.35,-27.7
18,2021,188.18,200.12,75.84,0.45,-94.12
18,2022,174.09,204.46,76.57,0.99,-77.99
18,2023,165.61,211.37,78.83,0.82,-66.26
18,2024,135.87,211.03,77.39,0.77,-36.69
18,2025,124.76,220.77,77.84,0.57,-21.0
19,2021,189.56,205.37,61.72,0.92,-93.03
19,2022,179.09,208.02,62.18,0.76,-81.32
19,2023,164.64,216.79,64.39,0.16,-62.75
19,2024,134.54,222.49,65.47,0.62,-29.97
19,2025,146.48,228.78,64.21,0.15,-38.96
20,2021,182.28,207.03,74.38,0.32,-84.98
20,2022,166.43,210.62,75.86,0.65,-67.44
20,2023,152.12,212.47,75.27,0.77,-52.26
20,2024,147.95,223.05,75.88,0.2,-43.11
20,2025,127.14,232.71,79.43,0.4,-17.76
